semester,day,room,building,teacher,hours,course_name,school_and_faculty,course_type,course_number
ב',ג',303 ,רקנאטי,מר גולדברג דוד,1200 - 1000,מודלים בחשבונאות ניהולית מתקדמת,ניהול/חשבונאות ,שיעור,1211-2205-02
ב',א',127 ,עבודה סוציאלית,"ד""ר לביא משה",1600 - 1400,היבטים כלכליים בעבודה סוציאלית,עבודה סוציאלית ,שיעור ות,1110-1121-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None","עורך ""מעשי משפט""",משפטים ,"פרוייקט
פרוייקט",1411-5581-01
א',ב',207א,מכסיקו,גב' גודר יסמין,1500 - 1200,עבודה בחלל - פעולה ותנועה,אמנויות/אמנות התאטרון ,עבודה מע,0811-0815-01
"א'
א'","ג'
ה'","103 
103 ","נפתלי
נפתלי",גב' נאור מרלה,"1000 - 0800
1200 - 1000",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-05
ב',ד',105 ,לימודי הסביבה,"ד""ר אוסטרליץ נעם מרדכי",1800 - 1600,אדריכלות אקולוגית: בין תיאוריה לפרקטיקה,לימודי הסביבה ,שיעור,0910-4015-01
א',ד',432 ,שרת,"ד""ר בוקובזה גבריאל",1800 - 1600,זהות מגדרית בייעוץ ובטיפול,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2020-01
ב',ה',    ,None,"ד""ר לוי שירלי",1100 - 0800,דיני עסקים ותאגידים,ניהול/חשבונאות ,שיעור,1211-2206-01
א',א',127 ,עבודה סוציאלית,"ד""ר גבריאל פריד בל",1000 - 0800,כתיבה מדעית ושימוש במאגרי מידע,עבודה סוציאלית ,שיעור,1110-1127-01
ב',None,    ,None,פרופ זיהר קורט,None,Visual Arts and the Law,משפטים ,שיעור,1411-5588-50
"א'
ב'","ה'
ה'","121 
121 ","מכסיקו
מכסיקו","ד""ר הריס פיטר","1200 - 0900
1200 - 0900",אימפרוביזציה ויסודות המשחק,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0816-01
"ב'
ב'","א'
ד'","104 
103 ","נפתלי
נפתלי","ד""ר אלון-לבנת מיכל","1400 - 1200
1600 - 1400",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-07
ב',ד',101 ,לימודי הסביבה,"ד""ר נפתלי ניר",1000 - 0800,מבוא לאנרגיות מתחדשות,לימודי הסביבה ,שיעור,0910-4016-01
ב',ג',328 ,שרת,"ד""ר רוזי אורית",1200 - 1000,ייעוץ בבית הספר בחברה משתנה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2023-01
ב',ד',    ,None,מר ממן גיל-אברהם,1200 - 1000,דיני עסקים ותאגידים,ניהול/חשבונאות ,תרגיל,1211-2206-10
א',None,    ,None,גב' פרייס היידי ברכה,None,כתיבה מדעית ושימוש במאגרי מידע,עבודה סוציאלית ,שיעור,1110-1127-02
א',None,    ,None,  ,None,אוריינטציה,משפטים ,עבודה מע,1411-5601-01
"א'
ב'","ה'
ג'","207א
207א","מכסיקו
מכסיקו",גב' קופרברג אודליה,"1100 - 0900
1400 - 1200",תנועה לשחקנים,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0817-01
א',ג',201 ,נפתלי,"ד""ר שומרון נועם",1000 - 0830,"הגנום האנושי: שיטות לקריאתו, הבנתו וההשלכות על הפרט והחברה",כלים שלובים ,שיעור,1880-0101-01
"ב'
ב'","א'
ד'","104 
204 ","נפתלי
נפתלי","ד""ר אלון-לבנת מיכל","1600 - 1400
1200 - 1000",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-08
א',ב',106 ,לימודי הסביבה,פרופ גזית אביטל,1600 - 1400,לימנולוגיה: מדע המים המתוקים,לימודי הסביבה ,שיעור,0910-4017-01
ב',ה',328 ,שרת,"ד""ר לוי -קרן מיכל",1200 - 1000,ניתוח נתונים כמותיים במחקר חינוכי,חינוך/היבטים התפתחותיים בחינוך ,שיעור,0721-2024-01
א',ג',406 ,רקנאטי,מר אטיס ארנון,1600 - 1200,יסודות ביקורת חשבונות,ניהול/חשבונאות ,שיעור,1211-2211-01
א',ד',001 ,עבודה סוציאלית,מר פרל גיא חיים,1400 - 1200,התיאוריה של הפרקטיקה,עבודה סוציאלית ,שיעור,1110-1128-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",חבר מערכת עיוני משפט,משפטים ,"עבודה מע
עבודה מע",1411-5602-01
"א'
ב'","ב'
ב'","    
    ","None
None","ד""ר אלון חן","2000 - 1700
2000 - 1700",פרויקט תיאטרון בקהילה,אמנויות/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0818-01
ב',None,    ,None,  ,None,הבסיס התאי והמולקולרי של הסרטן,כלים שלובים ,שיעור,1880-0102-01
"ב'
ב'","ב'
ה'","108 
112 ","נפתלי
כיתות דן דוד",גב' סולוביי אורית,"1400 - 1200
1400 - 1200",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-09
א',ב',106 ,לימודי הסביבה,"ד""ר גולברג אלכסנדר",1800 - 1600,התפתחות מערכות אנרגיה,לימודי הסביבה ,שיעור,0910-4018-01
ב',ה',111 ,כיתות דן דוד, דובינצ'יק בלה,1500 - 1400,ניתוח נתונים כמותיים במחקר חינוכי,חינוך/היבטים התפתחותיים בחינוך ,תרגיל,0721-2024-02
ב',א',104 ,רקנאטי,גב' אונגר רגינה,1600 - 1200,יסודות ביקורת חשבונות,ניהול/חשבונאות ,שיעור,1211-2211-02
ב',ד',001 ,נפתלי,"ד""ר פלדמן גיא",1000 - 0800,מדינת הרווחה בישראל,עבודה סוציאלית ,שיעור,1110-1129-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",משפט מבוים,משפטים ,"עבודה מע
עבודה מע",1411-5603-01
"א'
ב'","ב'
ה'","206ב
121 ","מכסיקו
מכסיקו",גב' קרק טלי,"1300 - 1000
1500 - 1200","עבודת השחקן-גוף,קול,טקסט",ניהול/אמנות התאטרון ,"עבודה מע
עבודה מע",0811-0820-01
א',ד',004 ,איבנר-הרצאות,פרופ רק יואל,2000 - 1800,האבולוציה של האדם,כלים שלובים ,שיעור,1880-0103-01
"ב'
ב'","ג'
ה'","204 
204 ","נפתלי
נפתלי","ד""ר אלון-לבנת מיכל","1000 - 0800
1000 - 0800",אנגלית מתקדמים ב' למדעי החברה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0024-10
א',ד',101 ,לימודי הסביבה,"ד""ר גבעתי עמיר   אהרון",2000 - 1800,אקלים והמחזור ההידרולוגי,לימודי הסביבה ,שיעור,0910-4019-01
ב',ה',111 ,כיתות דן דוד, דובינצ'יק בלה,1600 - 1500,ניתוח נתונים כמותיים במחקר חינוכי,חינוך/היבטים התפתחותיים בחינוך ,תרגיל,0721-2024-03
א',None,    ,None,  ,None,הדרכה וירטואלית:שימוש במאגרי מידע בחשבונאות,ניהול/חשבונאות ,הדרכה בי,1211-2222-01
ב',א',152 ,עבודה סוציאלית,גב' פנחסי בתיה,1000 - 0800,מיומנויות התערבות א: שיטות ראיון והבניית הקשר המסייע,עבודה סוציאלית ,שיעור ות,1110-1130-01
"א'
ב'","None
None","    
    ","None
None",  ,"None
None","עורך ""עיוני משפט""",משפטים ,"עבודה מע
עבודה מע",1411-5604-01
א',None,    ,None,  ,None,הדרכת בטיחות,אמנויות/אמנות התאטרון ,תרגיל,0811-1006-01
ב',None,    ,None,פרופ אופן דניאל,None,כיצד המדע מתמודד עם מחלות המוח,כלים שלובים ,שיעור,1880-0104-01
"ב'
ב'","א'
ה'","118 
118 ","קפלון
קפלון",גב' שלם שרה,"2000 - 1800
2000 - 1800",אנגלית מתקדמים ב- ' מדויקים,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0034-01
א',ב',101 ,לימודי הסביבה,פרופ פרבולוצקי אברהם,2000 - 1800,סוגיות בניהול משאבי טבע בישראל,לימודי הסביבה ,שיעור,0910-4021-01
ב',ג',432 ,שרת,פרופ ישראלאשוילי משה,1800 - 1600,ההסתגלות לבית הספר,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2030-01
א',ג',104 ,רקנאטי,מר פיטרמן אילי,1800 - 1400,מסים א',ניהול/חשבונאות ,שיעור,1211-2244-01
ב',א',016 ,עבודה סוציאלית,"ד""ר עבוד-חלבי יסמין",1000 - 0800,מיומנויות התערבות א: שיטות ראיון והבניית הקשר המסייע,עבודה סוציאלית ,שיעור ות,1110-1130-02
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",עבודת מחקר,משפטים ,"פרוייקט
פרוייקט",1411-5605-01
ב',א',120 ,מכסיקו,מר פרלשטיין משה,1000 - 0800,תיאוריות בימוי,אמנויות/אמנות התאטרון ,שיעור,0811-1007-01
א',ה',001 ,רפואה-סאקלר,פרופ שיינוביץ מיקי,1800 - 1600,פעילות גופנית בריאותית,כלים שלובים ,שיעור,1880-0105-01
"א'
א'","ב'
ג'","003 
008 ","הנדסה כתות ח
הנדסת תוכנה",גב' קוגן אירנה,"1800 - 1600
2000 - 1800",אנגלית מתקדמים ב - הנדסה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0054-01
ב',ד',105 ,לימודי הסביבה,"ד""ר לצטר יעל",1600 - 1400,השפעת קידוחי גז ונפט על הסביבה,לימודי הסביבה ,שיעור,0910-4024-01
א',ג',309 ,שרת,"ד""ר אינגבר שרה",1800 - 1600,שותפות ושונות: המערכת החינוכית והמערכת המשפחתית,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-2032-01
ב',ד',407 ,רקנאטי,גב' ברק בילו ענבר,2000 - 1600,מסים א',ניהול/חשבונאות ,שיעור,1211-2244-02
ב',א',015 ,עבודה סוציאלית,"ד""ר גבריאל פריד בל",1000 - 0800,מיומנויות התערבות א: שיטות ראיון והבניית הקשר המסייע,עבודה סוציאלית ,שיעור ות,1110-1130-03
"א'
ב'","None
None","    
    ","None
None",  ,"None
None",עבודת מחקר,משפטים ,"פרוייקט
פרוייקט",1411-5605-02
א',ה',208 ,מכסיקו,מר פרידמן עודד במבי יצחק,2000 - 1600,שעור הפקה 1,אמנויות/אמנות התאטרון ,שיעור,0811-1013-01
א',ג',205 ,כיתות דן דוד,מר רובינשטיין אמיר,1800 - 1600,מבוא כללי לתכנות,לימודי סייבר ,שיעור,1843-0310-01
ב',א',002 ,כיתות דן דוד,"ד""ר חלד יובל",1600 - 1400,"גוף האדם - הבסיס האנטומי והפיזיולוגי של היציבה, התנועה והאימון הגופני",כלים שלובים ,שיעור,1880-0106-01
"א'
א'","ב'
ד'","003 
008 ","הנדסה כתות ח
הנדסת תוכנה",גב' קוגן אירנה,"2000 - 1800
2000 - 1800",אנגלית מתקדמים ב - הנדסה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0054-02
א',ד',101 ,לימודי הסביבה,"ד""ר רונן רותם אורלי",1400 - 1200,ערים חכמות ומקיימות,לימודי הסביבה ,שיעור,0910-4026-01
"א'
ב'","ג'
ג'","006 
006 ","שרת
שרת","ד""ר אפרתי וירצ מאירה","1000 - 0830
1000 - 0830",חינוך מיוחד: הלכה ומעשה,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-3009-01
א',ב',279 ,גילמן,גב' אברגיל ליאור,1800 - 1600,מסים א',ניהול/חשבונאות ,תרגיל,1211-2244-10
ב',א',150 ,עבודה סוציאלית,גב' זקס אילנה,1000 - 0800,מיומנויות התערבות א: שיטות ראיון והבניית הקשר המסייע,עבודה סוציאלית ,שיעור ות,1110-1130-04
"א'
ב'","None
None","    
    ","None
None",  ,"None
None","חבר/ת מערכת כתב העת ""משפט, חברה ותרבות""",משפטים ,"עבודה מע
עבודה מע",1411-5607-01
א',ה',209 ,מכסיקו,מר בר-עוז גדי,2000 - 1600,שעור הפקה 2,אמנויות/אמנות התאטרון ,שיעור,0811-1014-01
א',ד',007 ,קפלון,גב' מוסקוביץ' אורית,1900 - 1800,מבוא כללי לתכנות,לימודי סייבר ,תרגיל,1843-0310-02
א',ג',003 ,איבנר-הרצאות,"ד""ר שפרן יגאל בצלאל",1500 - 1300,סוגיות נבחרות ברפואה והלכה,כלים שלובים ,שיעור,1880-0107-01
"א'
א'","א'
ה'","318 
008 ","נפתלי
הנדסת תוכנה",גב' קוגן אירנה,"1900 - 1700
1900 - 1700",אנגלית מתקדמים ב - הנדסה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0054-03
ב',ד',105 ,לימודי הסביבה,"ד""ר לרמן יואב",1400 - 1200,ערים ידידותיות לילדים ולגיל הרך,לימודי הסביבה ,שיעור,0910-4027-01
"א'
ב'","ג'
ג'","006 
006 ","שרת
שרת","ד""ר אפרתי וירצ מאירה","1000 - 0830
1000 - 0830",חינוך מיוחד: הלכה ומעשה,חינוך/היבטים התפתחותיים בחינוך ,"שיעור ות
שיעור ות",0721-3009-02
א',א',304 ,רקנאטי,מר לוי ערן,1600 - 1400,מסים א',ניהול/חשבונאות ,תרגיל,1211-2244-11
ב',א',017 ,עבודה סוציאלית,"ד""ר פגורק אשל שירה",1000 - 0800,מיומנויות התערבות א: שיטות ראיון והבניית הקשר המסייע,עבודה סוציאלית ,שיעור ות,1110-1130-05
"א'
ב'","None
None","    
    ","None
None",  ,"None
None","עורך כתב העת ""משפט, חברה ותרבות""",משפטים ,"עבודה מע
עבודה מע",1411-5612-01
ב',ה',213 ,מכסיקו,מר פרידמן עודד במבי יצחק,2000 - 1600,שעור הפקה 3,אמנויות/אמנות התאטרון ,שיעור,0811-1015-01
ב',ד',    ,None,מר הירשפרונג רון,1900 - 1600,טכנולוגיות בסיסיות של מערכות סייבר,לימודי סייבר ,שיעור ות,1843-0510-01
ב',None,    ,None,"ד""ר שומרון נועם",None,הרפתקאות לאורכו של הגנום האנושי,כלים שלובים ,שיעור,1880-0108-01
"ב'
ב'","א'
ד'","008 
008 ","הנדסת תוכנה
הנדסת תוכנה",גב' קוגן אירנה,"2000 - 1800
2000 - 1800",אנגלית מתקדמים ב - הנדסה,שפות זרות / אנגלית ,"שיעור ות
שיעור ות",2171-0054-04
ב',ד',101 ,לימודי הסביבה,"ד""ר פינקלשטיין אלין",1400 - 1200,חיידקים צמחים וביו-אנרגיה,לימודי הסביבה ,שיעור,0910-4028-01
ב',ג',104 ,כיתות דן דוד,"ד""ר רינגולד דליה",1000 - 0830,שפה של ילדים לקויי שמיעה,חינוך/היבטים התפתחותיים בחינוך ,שיעור ות,0721-3010-01
ב',ג',404 ,רקנאטי,גב' מונוביץ ואנסה,1800 - 1600,מסים א',ניהול/חשבונאות ,תרגיל,1211-2244-20
ב',ד',127 ,עבודה סוציאלית,"ד""ר אבו ריא השאם",1400 - 1200,תיאוריות של אישיות,עבודה סוציאלית ,שיעור ות,1110-1131-01
